"_wks_percentile_bucket","_wkshell","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","GO","IsSingleNode","layers_ppin","name","NeighborhoodConnectivity","noefftarg","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Phenotype","Radiality","selected","SelfLoops","shared name","shells_ppin","Stress","targ","TopologicalCoefficient","Yali_pheno","Yali_pheno111"
"15","5","5.5455594","0.0","0.18032446","0.0","1","9","","false","Peripharal","AT5G05190","8.0","","1","0","0","","0.58676733","false","0","AT5G05190","47","0","","0.0","",""
"40","17","4.7289504","1.4092E-4","0.21146341","0.0","2","8","","false","Peripharal","AT5G02150","18.5","","2","0","0","","0.66100451","false","0","AT5G02150","27","5086","EffeTarg","0.625","",""
"0","1","1.0","0.0","1.0","0.0","1","1","","false","Peripharal","HARXL89","1.0","","1","0","0","","1.0","false","0","HARXL89","50","0","","0.0","",""
"0","1","1.0","0.0","1.0","0.0","1","1","","false","Peripharal","AT5G02050","1.0","","1","0","0","2MRP","1.0","false","0","AT5G02050","56","0","EffeTarg","0.0","",""
"15","4","5.50980392","0.00230681","0.18149466","0.0","2","9","","false","Peripharal","AT5G65790","2.5","","2","0","0","","0.59001783","false","0","AT5G65790","47","17706","","0.5","",""
"5","2","5.37716263","0.0","0.18597169","0.0","1","8","","false","Peripharal","AT4G39400","2.0","","1","0","0","2MRP","0.60207612","false","0","AT4G39400","47","0","","0.0","",""
"0","1","1.0","0.0","1.0","0.0","1","1","","false","","HOPAF1_group","1.0","","1","0","0","","1.0","false","0","HOPAF1_group",,"0","","0.0","",""
"0","1","1.0","0.0","1.0","0.0","1","1","","false","Peripharal","AT4G38800","1.0","","1","0","0","4CND","1.0","false","0","AT4G38800","57","0","EffeTarg","0.0","",""
"5","2","5.5467128","0.0","0.18028696","0.0","1","9","","false","Peripharal","AT4G36540","2.0","","1","0","0","","0.58666247","false","0","AT4G36540","47","0","EffeTarg","0.0","",""
"0","1","1.0","0.0","1.0","0.0","1","1","","false","Peripharal","AT5G03290","1.0","","1","0","0","","1.0","false","0","AT5G03290","56","0","","0.0","",""
"0","1","1.0","0.0","1.0","0.0","1","1","","false","Peripharal","AT4G35260","1.0","","1","0","0","2MRP","1.0","false","0","AT4G35260","58","0","","0.0","",""
"90","47","4.98846597","0.0","0.20046243","0.0","1","9","","false","inner","AT4G35100","103.0","","1","0","0","","0.63741218","false","0","AT4G35100","2","0","","0.0","",""
"30","13","4.74279123","0.0","0.2108463","0.0","1","8","","false","Peripharal","AT4G34710","25.0","","1","0","0","2MRP","0.65974625","false","0","AT4G34710","28","0","EffeTarg","0.0","",""
"25","9","4.65628604","0.0","0.21476344","0.0","1","8","","false","Peripharal","AT4G34220","17.0","","1","0","0","","0.66761036","false","0","AT4G34220","36","0","","0.0","",""
"90","47","4.98846597","0.0","0.20046243","0.0","1","9","","false","inner","AT4G34190","103.0","","1","0","0","","0.63741218","false","0","AT4G34190","2","0","","0.0","",""
"15","5","4.84890427","0.0","0.20623216","0.0","1","8","","false","Peripharal","AT4G34120","9.0","","1","0","0","","0.65009961","false","0","AT4G34120","47","0","EffeTarg","0.0","",""
"90","47","4.98846597","0.0","0.20046243","0.0","1","9","","false","inner","AT4G32750","103.0","","1","0","0","","0.63741218","false","0","AT4G32750","2","0","","0.0","",""
"85","47","4.98846597","0.0","0.20046243","0.0","1","9","","false","inner","AT4G32140","103.0","","1","0","0","","0.63741218","false","0","AT4G32140","2","0","","0.0","",""
"85","47","4.98846597","0.0","0.20046243","0.0","1","9","","false","inner","AT4G28720","103.0","","1","0","0","","0.63741218","false","0","AT4G28720","2","0","","0.0","",""
"5","2","5.40253749","0.0","0.18509821","0.0","1","8","","false","Peripharal","AT4G28490","3.0","","1","0","0","2MRP","0.59976932","false","0","AT4G28490","47","0","","0.0","",""
"85","47","4.98846597","0.0","0.20046243","0.0","1","9","","false","inner","AT4G28040","103.0","","1","0","0","","0.63741218","false","0","AT4G28040","2","0","","0.0","",""
"10","3","5.16032295","0.0","0.19378632","0.0","1","8","","false","Peripharal","AT4G32520","5.0","","1","0","0","","0.62178882","false","0","AT4G32520","47","0","","0.0","",""
"25","9","5.22029988","2.42E-5","0.19155988","0.0","2","8","","false","Peripharal","AT4G26110","6.5","","2","0","0","4CND","0.61633637","false","0","AT4G26110","37","376","EffeTarg","0.61111111","",""
"10","3","5.41753172","0.0","0.18458591","0.0","1","9","","false","Peripharal","AT4G26100","4.0","","1","0","0","","0.59840621","false","0","AT4G26100","47","0","","0.0","",""
"65","28","4.29296424","0.00291736","0.23293928","0.0","5","8","","false","inner","AT4G24840","13.0","","5","0","0","","0.70063961","false","0","AT4G24840","13","39670","EffeTarg","0.27906977","",""
"5","2","2.0","0.0","0.5","0.0","1","3","","false","Peripharal","AT4G37460","2.0","","1","0","0","4CND","0.66666667","false","0","AT4G37460","47","0","","0.0","",""
"10","3","1.33333333","0.66666667","0.75","0.0","2","2","","false","Peripharal","AT4G23570","1.5","","2","0","0","1ESN","0.88888889","false","0","AT4G23570","47","4","","0.5","",""
"10","3","5.41983852","0.0","0.18450734","0.0","1","9","","false","Peripharal","AT5G47370","4.0","","1","0","0","2MRP","0.5981965","false","0","AT5G47370","47","0","","0.0","",""
"55","23","4.48327566","0.00331303","0.2230512","0.0","4","8","","false","inner","AT5G53320","10.75","","4","0","0","","0.68333858","false","0","AT5G53320","18","26700","","0.31451613","",""
"55","23","4.57208766","7.727E-4","0.21871847","0.0","3","8","","false","inner","AT4G37250","13.66666667","","3","0","0","","0.67526476","false","0","AT4G37250","18","14866","","0.4691358","",""
"5","2","1.66666667","0.0","0.6","0.0","1","2","","false","Peripharal","AT4G22130","3.0","","1","0","0","","0.66666667","false","0","AT4G22130","47","0","","0.0","",""
"10","3","5.79700115","0.0","0.17250298","0.0","1","9","","false","Peripharal","AT5G57910","4.0","","1","0","0","","0.56390899","false","0","AT5G57910","47","0","","0.0","",""
